ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
,Yo Honma,Ntt Data,"NTT DATA is your Innovation Partner anywhere around the world. Headquartered in Tokyo, with business operations in more than 50 countries and regions, we emphasize long-term commitment and combine global reach and local intimacy to provide premier professional services from consulting, system development to business IT outsourcing. Since 1967, NTT DATA has played an instrumental role in establishing and advancing IT infrastructure. Originally part of Nippon Telegraph and Telephone Public Corporation, its heritage contributed to social benefits with a quality-first mindset. A public company since 1995, the company builds on this proven track record of innovation by providing novel IT solutions to bring results in a greater quality of life for people, communities, and societies around the world.",1988,,Service,Private,4.0,Foreign Mnc
,Rohit Kapoor,Exl Service,"EXL is the indispensable partner for leading businesses in data-led industries such as insurance, banking and financial services, healthcare, retail and logistics. We bring a unique combination of data, advanced analytics, digital technology and industry expertise to help our clients turn data into insights, streamline operations, improve customer experience, and transform their business.",1999,,B2B,Private,3.8,Foreign Mnc
,,Ultratech Cement,"UltraTech Cement Ltd is the largest manufacturer of grey cement, ready mix concrete (RMC) and white cement in India. It is also one of the leading cement producers globally, and the only cement company globally (outside of China) to have more than 100 million tonne capacity in one country.It has a consolidated capacity* of 117.35 Million Tonnes Per Annum (MTPA) of grey cement. UltraTech Cement has 23 integrated plants, 1 clinkerisation plant, 27 grinding units and 7 bulk terminals. Its operations span across India, UAE, Bahrain, Bangladesh and Sri Lanka.(*Including 4 MTPA commissioning by June 2019)In the white cement segment, UltraTech goes to market under the brand name of Birla White. It has a white cement plant with a capacity of 0.56 MTPA and 2 WallCare putty plants with a combined capacity of 0.8 MTPA.With 100+ Ready Mix Concrete (RMC) plants in 35 cities, UltraTech is the largest manufacturer of concrete in India. It also has a slew of speciality concretes that meet specific needs of discerning customers. Our Building Products business is an innovation hub that offers an array of scientifically engineered products to cater to new-age constructions.",1983,"Mumbai, Maharashtra, India",Service,Public,4.2,Corporate
,,Natwest Group,"NatWest Group has a leading retail business and is the largest business and commercial bank in the UK. We offer market-leading digital capabilities combined with expert human support to personal customers, and we are the biggest supporter of the business sector – banking around 1 in 4 businesses across the UK and Ireland, from start-ups to multinationals.",,,B2B,Private,4.0,Foreign Mnc
,,Udaan,"Udaan is a network-centric B2B trade platform, designed specifically for small & medium businesses in India. It brings traders, wholesalers, retailers, manufacturers, and brands in India onto a single platform. With real insights into active trends and great B2B trade features, udaan brings to them the power of technology to scale & nurture their business.

The easy-to-use app gives you the power to:
- DISCOVER customers, suppliers & products across numerous categories
- BUY & SELL on your terms – with secure payments & smooth logistics
- GROW your network through repeats & relationships with like-minded parties",2016,,Service,Private,4.0,Startup
,Ritesh Kumar,Hdfc Ergo General Insurance,"HDFC ERGO General Insurance Company Ltd. is a joint venture between HDFC Ltd., India’s premier Housing Finance Institution and ERGO International AG, the primary insurance entity of Munich Re Group. The Company offers complete range of general insurance products ranging from Motor, Health, Travel, Home and Personal Accident in the retail space and customized products like Property, Marine and Liability Insurance in the corporate space.",2002,"Mumbai, Maharashtra, India",B2C,Public,4.0,Corporate
,,Itc,"ITC is one of India's foremost private sector companies and a diversified conglomerate with businesses spanning Fast Moving Consumer Goods, Hotels, Paperboards and Packaging, Agri-Business, and Information Technology. The Company is acknowledged as one of India's most valuable business corporations with a Gross sales value of ₹ 76,097.31 crores and a Net Profit of ₹ 15,136.05 crores (as of 31.03.2020). ITC was ranked as India's most admired company, according to a survey conducted by Fortune India, in association with Hay Group. ITC is the country's leading FMCG marketer, the clear market leader in the Indian Paperboard and Packaging industry, a globally acknowledged pioneer in farmer empowerment through its wide-reaching Agri Business, a pre-eminent hotel chain in India that is a trailblazer in 'Responsible Luxury'. ITC's wholly-owned subsidiary, ITC Infotech, is a specialized global digital solutions provider. Over the last decade, ITC's new Consumer Goods Businesses have established a vibrant portfolio of 25 world-class Indian brands that create and retain value in India. ITC's world-class FMCG brands including Aashirvaad, Sunfeast, Yippee!, Bingo!, B Natural, ITC Master Chef, Fabelle, Sunbean, Fiama, Engage, Vivel, Savlon, Classmate, Papercraft, Mangaldeep, Aim, and others have garnered encouraging consumer franchise within a short span of time. While several of these brands are market leaders in their segments, others are making appreciable progress.",1910,"Kolkata, West Bengal, India",B2C,Public,4.0,Corporate
,,State Bank Of India,"State Bank of India (SBI) is the nation's largest and oldest bank. Tracing its roots back some 200 years to the British East India Company (and initially established as the Bank of Calcutta in 1806), the bank operates more than 13,500 branches within India. It also owns majority stakes in five associate banks. SBI also has more than 155 branches in about 30 foreign countries, including multiple locations in the US, Canada, and Nigeria. The bank has other units devoted to capital markets, fund management, factoring and commercial services, credit cards, insurance, and brokerage services. The Reserve Bank of India owns about 60% of State Bank of India.",1806,"Mumbai, Maharashtra, India",B2C,,3.8,
,George R. Oliver,Johnson Controls,"As a global leader in smart, healthy and sustainable buildings, our mission is to reimagine the performance of buildings to serve people, places and the planet.",1885,,B2B,Public,3.6,Foreign Mnc
,,Carelon Global Solutions,,,,B2B,,4.0,Corporate
,,Idfc First Bharat,"IDFC FIRST Bharat Limited (formerly known as Grama Vidiyal Microfinance Limited), is a wholly owned subsidiary company of IDFC Bank (www.idfcbank.com). The company acts as a Business Correspondent for IDFC Bank by offering various financial services like loans, savings accounts, payment services and insurance to the underserved rural women through a pan India network. GVMFL was acquired by IDFC Bank in the year 2016. Prior to the acquisition, GVMFL was one of the renowned and the largest microfinance institutions across the planet in terms of its outreach and large credit portfolio. Today, it serves more than a million households in 5 states of the country utilizing the dedicated services of more than 3,500 employees. With the varied products, IDFC FIRST Bharat Limited (GVMFL) not only aims at achieving the economic sustainability of its women members, but also facilitates holistic empowerment of women and their families in social and cultural fronts.",2016,"Tiruchirappalli, India",B2C,,4.6,Corporate
